program_number,agency_number,community_area,program_type,name,address,city,zip,service_areas
KC000199,A70009,,KIDS CAFE,Future Ties @ Parkway Gardens,,,,
KC000478,A70009,North Lawndale,SFSP,Better Boys Foundation,,,,Closed
KC000479,A70009,South Chicago,SFSP,YMCA- South Chicago,3039 East 91st Street,Chicago,60617,Open
KC00461,A70009,West Pullman,SFSP,Straford Memorial SDA Church,,,,
KC00468,A70009,Englewood,CACFP,I Grow Chicago,,,,
KC00473,A70009,Near West Side,SFSP,UIC School - Band Camp,1040 W. Harrison Street,Chicago,60607,Closed
KC00475,A00812,North Lawndale,SFSP,St. Agatha,3141 W. Douglas Blvd,Chicago,60623,Closed
KC00476,A70009,South Lawndale,SFSP,Erie Neighborhood House,4225 W 25th Street,Chicago,60623,Closed
KC00477,A70009,Lower West Side,SFSP,Instituto del Progreso Latino,2520 S. Western,Chicago,60608,Closed
KC00480,A70009,Humboldt Park,SFSP,YMCA-Kelly Hall,824 N. Hamlin,Chicago,60651,Open
KC00481,A70009,Humboldt Park,SFSP,New Life Centers Humboldt Park,1410 N. Springfield Ave,Chicago,60651,Closed
KC00482,A70009,Kenwood,SFSP,Little Black Pearl,1060 East 47th Street,Chicago,60653,Closed
KC00483,A00063,West Town,SFSP,Esperanza Community Services,520 N. Marshfield,Chicago,60622,Closed
KC00485,A01474,Berwyn,SFSP,Ebenezer Church,1000 S. Harvey,Berwyn,60402,Open
KC00486,A01447,Englewood,SFSP,TSA Red Shield Center,945 W. 69th Street,Chicago,60621,Open
KC00487,A70009,Richton Park,SFSP,Village of Richton Park,4455 Sauk Trail,Richton Park,60471,Closed
KC00488,A70009,Washington Park,SFSP,KLEO Center,119 E. Garfield Blvd,Chicago,60637,Closed
KC00489,A70009,Beverly,SFSP,South Side Help Center,10420 S. Halstead,Chicago,60628,Open
KC00491,A70009,Greater Grand Crossing,SFSP,Gary Comer Youth Center,7200 South Ingleside,Chicago,60619,Closed
KC00492,A00235,East Garfield Park,SFSP,Breakthrough Ministries,3219 West Carroll,Chicago,60624,Closed
KC00493,A70009,Uptown,SFSP,Alternatives Inc.- Summer Camp,4730 North Sheridan,Chicago,60640,Closed
KC00494,A70009,Riverdale - Chicago,SFSP,CPL-Altgeld Library,13281 S. Corliss,Chicago,60827,Open Program
KC00497,A70009,,SFSP,Salvation Army Harbor Corps,,,,Closed Site
KC00498,A70009,Roseland,SFSP,Covenant Faith Church of God,10505 S. Halstead,Chicago,60628,Open Site
KC00499,A70009,West Pullman,SFSP,TSA Ray and Joan Kroc Corps,1250 W. 119th St,Chicago,60643,Closed Site
KC00500,A70009,West Lawn,SFSP,Vision 2 Vision Martial Arts,7601 S Cicero,Chicago,60652,Closed
KC00501,A70009,Greater Grand Crossing,SFSP,Kelly Woodlawn UMC,6955 South King Drive,Chicago,60637,Open Site
KC00502,A70009,Posen,SFSP,P.E.A.C.E in the South Suburbs,14418 S. McKinley Ave,Posen,60469,Open Program
KC00503,A70009,Washington Heights,SFSP,CPL- Woodson Regional,9525 S. Halstead,Chicago,60628,Open Program
KC00504,A70009,Calumet City,SFSP,Calumet Memorial Park-Memorial,612 Wentworth Ave,Calumet City,60409,Closed Program
KC00505,A70009,Calumet City,SFSP,Calumet Memorial Park District,600 Oglesby,Calumet City,60409,Closed Program
KC00506,A70009,Cicero,SFSP,Corazon Community Services,5339 W. 25th St,Cicero,60804,Open Program
KC00507,A70009,Near West Side,SFSP,CHA - Jane Addams Family,,,,Open
KC00508,A70009,South Lawndale,SFSP,CHA - Lawndale Community Cente,,,,Open
KC00509,A70009,South Shore,SFSP,CYC - Rebecca Crown,,,,Closed
KC00511,A70009,Maywood,SFSP,Neighborhood United Methodist,1817-1819 Washington Blvd,Maywood,60153,Open Site
KC00512,A70009,Dolton,SFSP,Dolton Park District,721 Engle,Dolton,60419,Closed Site
KC00513,A70009,Harvey,SFSP,Greater Lane Foundation,515 E 147th Place,Harvey,60426,Open
KC00514,A70009,,SFSP,The Salvation Army - Evanston,,,,
KC00516,A70009,Blue Island,SFSP,Grace United Methodist Church,12739 Maple Avenue,Blue Island,60406,Open Program
KC00517,A00006,,SFSP,St. James Food Pantry,,,,Open
KC00518,A70009,Calumet City,SFSP,Downey Park- Calumet Mem. Park,300 Jeffery,Calumet City,60409,Closed Program
KC00519,A00239,Harvey,SFSP,Restoration Ministries,253 E. 159th St.,Harvey,60426,Closed Program
KC00520,A70009,Lawndale,SFSP,Chicago West Side Christian,1240 S. Pulaski,Chicago,60623,Closed Program
KC00521,A70009,Harvey,SFSP,Standberry Christian Academy,536-538 E 147th St,Harvey,60473,Open Program
KC00522,A70009,Greater Grand Crossing,SFSP,CPL- Greater Grand Crossing,1000 E. 73rd St,Chicago,60619,Open Program
KC00523,A70009,North Lawndale,SFSP,CPL-Douglass Branch,3353 W 13th St,Chicago,60623,Open Program
KC00524,A70009,Lower West Side,SFSP,CPL- Rudy Lozano Branch,1805 S. Loomis Street,Chicago,60608,Open Program
KC00525,A70009,Uptown,SFSP,CPL- Uptown Branch,929 W Buena Ave,Chicago,60613,Open Program
KC00528,A70009,Austin,SFSP,CPL- North Austin,5724 W North Ave,Chicago,60639,Open Program
KC00529,A70009,Edgewater,SFSP,CircEsteem,1650 W. Foster,Chicago,60640,Closed Program
KC00531,A70009,Uptown,SFSP,American Indian Center of Chgo,,,,Uptown
KC00532,A00972,Gage Park,SFSP,SVDP: District IX Food Pantry,,,,Gage Park
KC00533,A70009,Chicago Lawn,SFSP,CPL- Chicago Lawn,6120 S. Kedzie,Chicago,60629,Open Site
KC00534,A70009,Greater Grand Crossing,SFSP,Foresight Children Learning,101-115 E. 69th St,Chicago,,Open Program
KC00535,A70009,Lower West Side,SFSP,YMCA- Rauner Family,2700 S Western,Chicago,60608,Closed Program
KC00536,A70009,Lake View,SFSP,YMCA-Lake View,3333 N. Marshfield,Chicago,60657,Closed Program
KC00537,A70009,West Ridge,SFSP,YMCA High Ridge,2424 W. Touhy Ave,Chicago,60645,Closed Program
KC00538,A70009,,SFSP,Family Focus- Evanston,2010 Dewey Ave,Evanston,60201,Open Program
KC00539,A01350,,SFSP,Inner City Missions Network,,,,
KC00540,A70009,North Lawndale,SFSP,CYC- ABC Polk Brothers,3415 W 13th Place,Chicago,60623,Closed Program
KC00541,A70009,Fuller Park,SFSP,CHA- SESS-Root,347 W. Root St,Chicago,60609,Open Program
KC00542,A70009,Rogers Park,SFSP,CHA- Loyola,1125 W. Loyola,Chicago,60660,Closed Program
KC00543,A70009,Near West Side,SFSP,CHA-Horder/Major Adams,125 N. Hoyne,Chicago,60605,Open Program
KC00544,A70009,Austin,SFSP,UCAN,,,,
KC00545,A70009,Roseland,SFSP,New Deliverance Presbyterian,,,,
KC00546,A70009,Chatham,SFSP,My4Shields,,,,Open Program
KC00548,A70009,Austin,SFSP,Mercy House Lakefront- Austin,,,,
KC00549,A01482,Roseland,SFSP,Metro Family Services Roseland,,,,
KC00550,A70009,,SFSP,PlayStreets,,,,Open Program
KC00551,A70009,Washington Heights,SFSP,Lord's Hands Summer Program,,,,Open Program
KC00553,A00969,Brighton Park,SFSP,Immaculate Conception,2745 W 44th St,Chicago,60632,Closed Program
KC00554,A70009,Englewood,SFSP,Imagine Englewood If,730 W 69th St,Chicago,60621,Open Program
KC00555,A70009,South Chicago,SFSP,Global Girls,8151 S South Chicago Ave,Chicago,60617,Closed
KC00556,A70009,Englewood,SFSP,Future Ties of Parkway Garden,3935 W 82nd St,Chicago,60652,
KC00557,A00080,East Garfield Park,SFSP,Marillac St. Vincent,212 S. Fransisco,IL,60612,Closed Program
KC00558,A70009,East Garfield Park,SFSP,"Taproots, Inc.",,,,East Garfield Park
KC00560,A00176,Chicago Lawn,SFSP,TSA- Chicago Lawn,,,,
KC00561,A70009,Hermosa,SFSP,Segundo Ruiz Belvis Cultural,,,,
KC00562,A70009,,SFSP,Hartzell Memorial UMC,,,,
KC00563,A70009,,SFSP,Kick Off- Harrison Park,,,,
KC00564,A70009,Humboldt Park,SFSP,Harambee,,,,
KC00565,A70009,,SFSP,Future Founders,,,,
KC00566,A70009,Washington Park,SFSP,Epitome Outreach,,,,
KC00567,A70009,Ford Heights,SFSP,CCHHS- Cottage Grove,,,,
KC00568,A70009,Englewood,SFSP,CCHHS- Englewood,,,,
KC00569,A70009,Robbins,SFSP,CHHS- Robbins,,,,
KC00570,A70009,,SFSP,Friendship Baptist Church,,,,
KC00571,A70009,,SFSP,City of Chicago Dept Family &,,,,
