program_number,agency_number,community_area,program_type,name,address,city,zip,service_areas
KC00270,A70009,South Deering,SFSP,CHA Trumbull Oglesby,10606 S. Oglesby,Chicago,60617,Open site
KC00333,A70009,South Shore,SFSP,Maranatha Comm Youth Center,1631 E. 71st Street,Chicago,60649,Open Site
KC00335,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld 656,656A E. 133rd Street,Chicago,60827,Open Site
KC00343,A70009,Pullman,SFSP,CHA - Olive Harvey College,10001 S. Woodlawn Ave.,Chicago,60628,Closed Program
KC00350,A70009,South Deering,SFSP,CHA- Trumbull,10616 S. Bensley,Chicago,60617,Open Program
KC00351,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Langley,13136 S. Langley,Chicago,60827,Open Program
KC00352,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Evans,13046 S. Evans,Chicago,60827,Open Program
KC00353,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld 742,742 E. 133rd Place,Chicago,60827,Open Program
KC00354,A70009,Riverdale - Chicago,SFSP,CHA- Altgeld Greenwood,13032 S. Greenwood,Chicago,60827,Open Program
KC00370,A00052,Roseland,SFSP,Roseland Christian Ministries,10858 S. Michigan Avenue,Chicago,60628,
KC00374,A70009,Roseland,SFSP,Metropolitan Family Services,235 E. 103rd Street,Chicago,60628,
KC00375,A70009,Riverdale - Chicago,SFSP,Metropolitan Family Services,951 E. 132nd Place,Chicago,60827,Closed Program
KC00410,A70009,,SFSP,Lunch Bus - SE Route,,,,
KC00411,A01387,Washington Heights,SFSP,Third Baptist Church ofChicago,,,,
KC00412,A70009,Austin,SFSP,Rising Stars Youth Club,,,,Open Program
KC00413,A70009,Sauk Village,SFSP,RSOC,,,,Open Program
KC00414,A70009,Lower West Side,SFSP,Union League Boys & Girls Club,,,,
KC00435,A70009,Riverdale - Suburb,SFSP,Shekinah Chapel - SIMFA Summer,13800 S. Wabash,Riverdale,60827,Open Program
KC00446,A70009,Roseland,SFSP,Mercy Housing Lakefront,10426 S Michigan Ave,Chicago,60628,Open
KC00451,A70009,Riverdale - Chicago,SFSP,My Cheer Now Summer Camp,,,,Open
KC00458,A70009,South Chicago,SFSP,CHA Mackinaw,8330 S. Mackinaw,Chicago,60617,Open Program
KC00463,A70009,South Chicago,SFSP,King of Glory Tabernacle Churc,,,,Open
SK00017,A00203,Harvey,SOUP KITCH,Bethel Gospel Tabernacle SK,15100 Page Ave,Harvey,60426,Cook County
SK00032,A00210,Steger,SOUP KITCH,Community Outreach Program SK,3440 Halsted Blvd,Steger,60475,Cook County
SK00050,A00254,Ford Heights,SOUP KITCH,Ford Heights Community Svs. SK,943 E Lincoln Hwy F,Ford Heights,60411,Cook County
SK00094,A00054,Roseland,SOUP KITCH,Catholic Charities:Roseland SK,11255 S Michigan Ave,Chicago,60628,Closed Program
KC00008,A00578,New City,CACFP,Holy Cross I.H.M. KC,4600 S Honore St,Chicago,60609,Closed Program
KC00233,A70009,Chicago Lawn,CACFP,West Communities YMCA,6235 S Homan Ave,Chicago,60629,Open Program
KC00358,A70009,New City,SFSP,CHA - Bridgeport,3122 S. Green,Chicago,60608,Open Program
KC00372,A70009,Bridgeport,SFSP,Smart Kids,556 W. 31st Street,Chicago,60616,Closed Program
KC00426,A70009,McKinley Park,SFSP,McKinley Library - Lunch Bus,,,,Open Program
KC00444,A70009,New City,SFSP,CPL- Canaryville Branch,312-747-0644,Chicago,60609,Open Program
SP00135,A00578,New City,SOUP KITCH,Holy Cross IHM Food Kids Meals,4600 S Honore St,Chicago,60609,Closed Program for Kids
KC00041,A70009,Lower West Side,CACFP,ULBGC One,2157 W 19th St,Chicago,60608,Closed Program
KC00042,A70009,West Town,CACFP,Miguel Barretto ULBGC,1214 N Washtenaw Ave,Chicago,60622,Closed Program
KC00054,A70009,Lower West Side,CACFP,Instituto Del Progreso Latino,2520 S Western Ave,Chicago,60608,Closed Program
KC00062,A70009,Lower West Side,CACFP,Casa Juan Diego Youth Center,1850 S Throop St,Chicago,60608,Closed Program
KC00063,A70009,Cicero,CACFP,Corazon Community Services,5339 W 25th Street,Cicero,60804,
KC00096,A70009,,SFSP,Lunch Bus Route - South Suburb,4100 W Ann Lurie Pl,Chicago,60632,
KC00097,A70009,,SFSP,Lunch Bus Route - NW City,4100 W Ann Lurie Pl,Chicago,60632,
KC00110,A70009,Lower West Side,CACFP,Rauner Family YMCA,2700 S Western Ave,Chicago,60608,Closed Program
KC00133,A70009,Logan Square,CACFP,Kosciuszko Park (CPD),2732 N Avers Ave,Chicago,60647,Closed Program
KC00141,A70009,Hermosa,CACFP,Kelvyn Park,4438 W Wrightwood Ave,Chicago,60639,Closed Program
KC00155,A70009,Logan Square,SFSP,YMCA- McCormick Tribune,1834 N Lawndale Ave,Chicago,60647,Closed Program
KC00160,A70009,Cicero,SFSP,Clyde Park District,1909 S Laramie Ave,Cicero,60804,Open Program
KC00189,A70009,Cicero,SFSP,TSA: Templo Laramie,2337 S Laramie Ave,Cicero,60804,
KC00202,A70009,Irving Park,CACFP,Kilbourn Park (CPD),3501 N Kilbourn Ave,Chicago,60641,Closed Program
KC00203,A70009,,SFSP,Lunch Bus Route- SW City,,,,
KC00227,A70009,South Lawndale,CACFP,Erie Neighborhood House,4225 W 25th St.,Chicago,60623,Closed Program
KC00236,A70009,Humboldt Park,SFSP,Association House of Chicago,1116 N. Kedzie,Chicago,60651,Closed Program
KC00246,A70009,Portage Park,SFSP,Kidwatch Plus,3330 North Lockwood,Chicago,60641,Closed site
KC00300,A70009,Cicero,SFSP,Manor Park District,5800 W. Park Avenue,Cicero,60804,Open Program
KC00304,A70009,New City,SFSP,CPL- Back of the Yards,2111 W. 47th Street,Chicago,60609,Open Site
KC00328,A70009,Irving Park,SFSP,YIPEE Bosen (Block Club),4224 W. Belmont Avenue,Chicago,60651,Closed Site
KC00332,A70009,Humboldt Park,SFSP,Maternity BVM (Block Club),3647 W. North Avenue,Chicago,60647,Closed Site
KC00345,A70009,McKinley Park,SFSP,CHA-Westside Tech Institute,2800 S. Western Ave.,Chicago,60608,Closed Program
KC00380,A70009,Avondale,SFSP,Puerto Rican Arts Alliance Mus,2958 N. Milwaukee Ave.,Chicago,60618,Closed Program
KC00381,A70009,Humboldt Park,SFSP,Puerto Rican Arts Alliance Art,1440 N. Sacramento Ave.,Chicago,60622,Closed Program
KC00418,A70009,Richton Park,SFSP,Village of Richton Park,,,,
KC00419,A70009,Chicago Lawn,SFSP,YMCA- West Communities,6235 S. Homan,Chicago,60629,Closed Program
KC00420,A70009,Austin,SFSP,Westside Health Authority,5437 W. Division St,Chicago,60651,Open Site
KC00424,A70009,Uptown,SFSP,Chicago House & Social Service,,,,
KC00425,A70009,Lower West Side,SFSP,Resurrection Proj - Lunch Bus,,,,Open Program
KC00441,A70009,Lower West Side,SFSP,Elevarte Community Studio,,,,Closed Program
SK00037,A00207,Lower West Side,SOUP KITCH,St. Pius Soup Kitchen,1919 S Ashland Ave,Chicago,60608,Cook County
SK00123,A00408,Portage Park,SOUP KITCH,Polish American Association SK,3834 N Cicero Ave,Chicago,60641,Closed Soup Kitchen
SP00210,A01492,Irving Park,SOUP KITCH,Emmaus Ministries,4201 N Troy St.,Chicago,60618,Restricted to Program Participants only
KC00142,A70009,Lake View,CACFP,Gill Park,825 W Sheridan Rd,Chicago,60613,Closed Program
KC00154,A70009,Lake View,CACFP,Lakeview YMCA,3333 N Marshfield Ave,Chicago,60657,Closed Program
KC00184,A70009,West Town,SFSP,Street Level Youth Media,1637 N Ashland Ave,Chicago,60622,
KC00237,A70009,Northlake,SFSP,Northlake Public Library,231 N. Wolf Rd,Northlake,60164,Open Program
KC00254,A70009,North Park,SFSP,The Salvation Army Mayfair,5020 N. Pulaski Road,Chicago,60630,Closed site
KC00279,A70009,Lincoln Park,SFSP,CHA-Lathrop,2603 N. Hoyne #831,Chicago,60647,Open
